Size,Pressure Class,Bonnet,Yokeboss,Actuator,Name
NPS 1,CL150 RF,Plain,2 1/8,30i,FCVCAD000001
NPS 1,CL150 RF,Plain,2 1/8,34i,FCVCAD000002
NPS 1,CL150 RF,Ext 1,2 1/8,30i,FCVCAD000003
NPS 1,CL150 RF,Ext 1,2 1/8,34i,FCVCAD000004
NPS 1,CL150 RF,Plain,2 13/16,40i,FCVCAD000005
NPS 1,CL150 RF,Plain,2 13/16,45i,FCVCAD000006
NPS 1,CL150 RF,Plain,2 13/16,46i,FCVCAD000007
NPS 1,CL150 RF,Ext 1,2 13/16,40i,FCVCAD000008
NPS 1,CL150 RF,Ext 1,2 13/16,45i,FCVCAD000009
NPS 1,CL150 RF,Ext 1,2 13/16,46i,FCVCAD000010
NPS 1,CL150 RF,Plain,3  9/16,50i,FCVCAD000011
NPS 1,CL150 RF,Plain,3  9/16,60i,FCVCAD000012
NPS 1,CL150 RF,Plain,3  9/16,70i,FCVCAD000013
NPS 1,CL150 RF,Plain,3  9/16,76i,FCVCAD000014
NPS 1,CL150 RTJ,Plain,2 1/8,30i,FCVCAD000015
NPS 1,CL150 RTJ,Plain,2 1/8,34i,FCVCAD000016
NPS 1,CL150 RTJ,Ext 1,2 1/8,30i,FCVCAD000017
NPS 1,CL150 RTJ,Ext 1,2 1/8,34i,FCVCAD000018
NPS 1,CL150 RTJ,Plain,2 13/16,40i,FCVCAD000019
NPS 1,CL150 RTJ,Plain,2 13/16,45i,FCVCAD000020
NPS 1,CL150 RTJ,Plain,2 13/16,46i,FCVCAD000021
NPS 1,CL150 RTJ,Ext 1,2 13/16,40i,FCVCAD000022
NPS 1,CL150 RTJ,Ext 1,2 13/16,45i,FCVCAD000023
NPS 1,CL150 RTJ,Ext 1,2 13/16,46i,FCVCAD000024
NPS 1,CL150 RTJ,Plain,3  9/16,50i,FCVCAD000025
NPS 1,CL150 RTJ,Plain,3  9/16,60i,FCVCAD000026
NPS 1,CL150 RTJ,Plain,3  9/16,70i,FCVCAD000027
NPS 1,CL150 RTJ,Plain,3  9/16,76i,FCVCAD000028
NPS 1,CL300 RF,Plain,2 1/8,30i,FCVCAD000029
NPS 1,CL300 RF,Plain,2 1/8,34i,FCVCAD000030
NPS 1,CL300 RF,Ext 1,2 1/8,30i,FCVCAD000031
NPS 1,CL300 RF,Ext 1,2 1/8,34i,FCVCAD000032
NPS 1,CL300 RF,Plain,2 13/16,40i,FCVCAD000033
NPS 1,CL300 RF,Plain,2 13/16,45i,FCVCAD000034
NPS 1,CL300 RF,Plain,2 13/16,46i,FCVCAD000035
NPS 1,CL300 RF,Ext 1,2 13/16,40i,FCVCAD000036
NPS 1,CL300 RF,Ext 1,2 13/16,45i,FCVCAD000037
NPS 1,CL300 RF,Ext 1,2 13/16,46i,FCVCAD000038
NPS 1,CL300 RF,Plain,3  9/16,50i,FCVCAD000039
NPS 1,CL300 RF,Plain,3  9/16,60i,FCVCAD000040
NPS 1,CL300 RF,Plain,3  9/16,70i,FCVCAD000041
