Size,Pressure class,Flange type,Bonnet,Actuator,Name
DN 15 / NPS 1/2,PN10-40,RF,Standard,225,FCVCAD001350
DN 15 / NPS 1/2,PN10-40,RF,Extended,225,FCVCAD001351
DN 15 / NPS 1/2,CL150,RF,Standard,225,FCVCAD001352
DN 15 / NPS 1/2,CL150,RF,Extended,225,FCVCAD001353
DN 15 / NPS 1/2,CL300,RF,Standard,225,FCVCAD001354
DN 15 / NPS 1/2,CL300,RF,Extended,225,FCVCAD001355
DN 15 / NPS 1/2,PN40,EN-1092-D,Standard,225,FCVCAD001356
DN 15 / NPS 1/2,PN40,EN-1092-D,Extended,225,FCVCAD001357
DN 15 / NPS 1/2,PN40,EN-1092-E,Standard,225,FCVCAD001358
DN 15 / NPS 1/2,PN40,EN-1092-E,Extended,225,FCVCAD001359
DN 15 / NPS 1/2,PN40,EN-1092-F,Standard,225,FCVCAD001360
DN 15 / NPS 1/2,PN40,EN-1092-F,Extended,225,FCVCAD001361
DN 20 / NPS 3/4,PN10-40,RF,Standard,225,FCVCAD001362
DN 20 / NPS 3/4,PN10-40,RF,Extended,225,FCVCAD001363
DN 20 / NPS 3/4,CL150,RF,Standard,225,FCVCAD001364
DN 20 / NPS 3/4,CL150,RF,Extended,225,FCVCAD001365
DN 20 / NPS 3/4,CL300,RF,Standard,225,FCVCAD001366
DN 20 / NPS 3/4,CL300,RF,Extended,225,FCVCAD001367
DN 20 / NPS 3/4,PN40,EN-1092-D,Standard,225,FCVCAD001368
DN 20 / NPS 3/4,PN40,EN-1092-D,Extended,225,FCVCAD001369
DN 20 / NPS 3/4,PN40,EN-1092-E,Standard,225,FCVCAD001370
DN 20 / NPS 3/4,PN40,EN-1092-E,Extended,225,FCVCAD001371
DN 20 / NPS 3/4,PN40,EN-1092-F,Standard,225,FCVCAD001372
DN 20 / NPS 3/4,PN40,EN-1092-F,Extended,225,FCVCAD001373
DN 25 / NPS 1,PN40,EN-1092-D,Standard,225,FCVCAD001374
DN 25 / NPS 1,PN40,EN-1092-D,Extended,225,FCVCAD001375
DN 25 / NPS 1,PN40,EN-1092-E,Standard,225,FCVCAD001376
DN 25 / NPS 1,PN40,EN-1092-E,Extended,225,FCVCAD001377
DN 25 / NPS 1,PN40,EN-1092-F,Standard,225,FCVCAD001378
DN 25 / NPS 1,PN40,EN-1092-F,Extended,225,FCVCAD001379
DN 25 / NPS 1,PN10-40,RF,Standard,225,FCVCAD001380
DN 25 / NPS 1,PN10-40,RF,Extended,225,FCVCAD001381
DN 25 / NPS 1,CL150,RF,Standard,225,FCVCAD001382
DN 25 / NPS 1,CL150,RF,Extended,225,FCVCAD001383
DN 25 / NPS 1,CL300,RF,Standard,225,FCVCAD001384
DN 25 / NPS 1,CL300,RF,Extended,225,FCVCAD001385
DN 25 / NPS 1,CL150,RTJ,Standard,225,FCVCAD001386
DN 25 / NPS 1,CL150,RTJ,Extended,225,FCVCAD001387
DN 25 / NPS 1,CL300,RTJ,Standard,225,FCVCAD001388
DN 25 / NPS 1,CL300,RTJ,Extended,225,FCVCAD001389
DN 40 / NPS 1 1/2,PN10-40,RF,Standard,225,FCVCAD001390
DN 40 / NPS 1 1/2,PN10-40,RF,Standard,750,FCVCAD001391
DN 40 / NPS 1 1/2,PN10-40,RF,Extended,225,FCVCAD001392
DN 40 / NPS 1 1/2,PN10-40,RF,Extended,750,FCVCAD001393
DN 40 / NPS 1 1/2,CL150,RF,Standard,225,FCVCAD001394
DN 40 / NPS 1 1/2,CL150,RF,Standard,750,FCVCAD001395
DN 40 / NPS 1 1/2,CL150,RF,Extended,225,FCVCAD001396
DN 40 / NPS 1 1/2,CL150,RF,Extended,750,FCVCAD001397
DN 40 / NPS 1 1/2,CL300,RF,Standard,225,FCVCAD001398
DN 40 / NPS 1 1/2,CL300,RF,Standard,750,FCVCAD001399
DN 40 / NPS 1 1/2,CL300,RF,Extended,225,FCVCAD001400
DN 40 / NPS 1 1/2,CL300,RF,Extended,750,FCVCAD001401
DN 40 / NPS 1 1/2,CL150,RTJ,Standard,225,FCVCAD001402
DN 40 / NPS 1 1/2,CL150,RTJ,Standard,750,FCVCAD001403
DN 40 / NPS 1 1/2,CL150,RTJ,Extended,225,FCVCAD001404
DN 40 / NPS 1 1/2,CL150,RTJ,Extended,750,FCVCAD001405
DN 40 / NPS 1 1/2,CL300,RTJ,Standard,225,FCVCAD001406
DN 40 / NPS 1 1/2,CL300,RTJ,Standard,750,FCVCAD001407
DN 40 / NPS 1 1/2,CL300,RTJ,Extended,225,FCVCAD001408
DN 40 / NPS 1 1/2,CL300,RTJ,Extended,750,FCVCAD001409
DN 40 / NPS 1 1/2,PN40,EN-1092-D,Standard,225,FCVCAD001410
DN 40 / NPS 1 1/2,PN40,EN-1092-D,Standard,750,FCVCAD001411
DN 40 / NPS 1 1/2,PN40,EN-1092-D,Extended,225,FCVCAD001412
DN 40 / NPS 1 1/2,PN40,EN-1092-D,Extended,750,FCVCAD001413
DN 40 / NPS 1 1/2,PN40,EN-1092-E,Standard,225,FCVCAD001414
DN 40 / NPS 1 1/2,PN40,EN-1092-E,Standard,750,FCVCAD001415
DN 40 / NPS 1 1/2,PN40,EN-1092-E,Extended,225,FCVCAD001416
DN 40 / NPS 1 1/2,PN40,EN-1092-E,Extended,750,FCVCAD001417
DN 40 / NPS 1 1/2,PN40,EN-1092-F,Standard,225,FCVCAD001418
DN 40 / NPS 1 1/2,PN40,EN-1092-F,Standard,750,FCVCAD001419
DN 40 / NPS 1 1/2,PN40,EN-1092-F,Extended,225,FCVCAD001420
DN 40 / NPS 1 1/2,PN40,EN-1092-F,Extended,750,FCVCAD001421
DN 50 / NPS 2,PN10-40,RF,Standard,225,FCVCAD001422
DN 50 / NPS 2,PN10-40,RF,Standard,750,FCVCAD001423
DN 50 / NPS 2,PN10-40,RF,Extended,225,FCVCAD001424
DN 50 / NPS 2,PN10-40,RF,Extended,750,FCVCAD001425
DN 50 / NPS 2,CL150,RF,Standard,225,FCVCAD001426
DN 50 / NPS 2,CL150,RF,Standard,750,FCVCAD001427
DN 50 / NPS 2,CL150,RF,Extended,225,FCVCAD001428
DN 50 / NPS 2,CL150,RF,Extended,750,FCVCAD001429
DN 50 / NPS 2,CL300,RF,Standard,225,FCVCAD001430
DN 50 / NPS 2,CL300,RF,Standard,750,FCVCAD001431
DN 50 / NPS 2,CL300,RF,Extended,225,FCVCAD001432
DN 50 / NPS 2,CL300,RF,Extended,750,FCVCAD001433
DN 50 / NPS 2,CL150,RTJ,Standard,225,FCVCAD001434
DN 50 / NPS 2,CL150,RTJ,Standard,750,FCVCAD001435
DN 50 / NPS 2,CL150,RTJ,Extended,225,FCVCAD001436
DN 50 / NPS 2,CL150,RTJ,Extended,750,FCVCAD001437
DN 50 / NPS 2,CL300,RTJ,Standard,225,FCVCAD001438
DN 50 / NPS 2,CL300,RTJ,Standard,750,FCVCAD001439
DN 50 / NPS 2,CL300,RTJ,Extended,225,FCVCAD001440
DN 50 / NPS 2,CL300,RTJ,Extended,750,FCVCAD001441
DN 50 / NPS 2,PN40,EN-1092-D,Standard,225,FCVCAD001442
DN 50 / NPS 2,PN40,EN-1092-D,Standard,750,FCVCAD001443
DN 50 / NPS 2,PN40,EN-1092-D,Extended,225,FCVCAD001444
DN 50 / NPS 2,PN40,EN-1092-D,Extended,750,FCVCAD001445
DN 50 / NPS 2,PN40,EN-1092-E,Standard,225,FCVCAD001446
DN 50 / NPS 2,PN40,EN-1092-E,Standard,750,FCVCAD001447
DN 50 / NPS 2,PN40,EN-1092-E,Extended,225,FCVCAD001448
DN 50 / NPS 2,PN40,EN-1092-E,Extended,750,FCVCAD001449
DN 50 / NPS 2,PN40,EN-1092-F,Standard,225,FCVCAD001450
DN 50 / NPS 2,PN40,EN-1092-F,Standard,750,FCVCAD001451
DN 50 / NPS 2,PN40,EN-1092-F,Extended,225,FCVCAD001452
DN 50 / NPS 2,PN40,EN-1092-F,Extended,750,FCVCAD001453
DN 80 / NPS 3,P 10-40,RF,Standard(Balanced),750-20,FCVCAD001454
DN 80 / NPS 3,P 10-40,RF,Standard(Unbalanced),750-20,FCVCAD001455
DN 80 / NPS 3,P 10-40,RF,Standard(Unbalanced),750-40,FCVCAD001456
DN 80 / NPS 3,P 10-40,RF,Extended,750-20,FCVCAD001457
DN 80 / NPS 3,P 10-40,RF,Extended,750-40,FCVCAD001458
DN 80 / NPS 3,CL150,RF,Standard(Balanced),750-20,FCVCAD001459
DN 80 / NPS 3,CL150,RF,Standard(Unbalanced),750-20,FCVCAD001460
DN 80 / NPS 3,CL150,RF,Standard(Unbalanced),750-40,FCVCAD001461
DN 80 / NPS 3,CL150,RF,Extended,750-20,FCVCAD001462
DN 80 / NPS 3,CL150,RF,Extended,750-40,FCVCAD001463
DN 80 / NPS 3,CL300,RF,Standard(Balanced),750-20,FCVCAD001464
DN 80 / NPS 3,CL300,RF,Standard(Unbalanced),750-20,FCVCAD001465
DN 80 / NPS 3,CL300,RF,Standard(Unbalanced),750-40,FCVCAD001466
DN 80 / NPS 3,CL300,RF,Extended,750-20,FCVCAD001467
DN 80 / NPS 3,CL300,RF,Extended,750-40,FCVCAD001468
DN 80 / NPS 3,CL150,RTJ,Standard(Balanced),750-20,FCVCAD001469
DN 80 / NPS 3,CL150,RTJ,Standard(Unbalanced),750-20,FCVCAD001470
DN 80 / NPS 3,CL150,RTJ,Standard(Unbalanced),750-40,FCVCAD001471
DN 80 / NPS 3,CL150,RTJ,Extended,750-20,FCVCAD001472
DN 80 / NPS 3,CL150,RTJ,Extended,750-40,FCVCAD001473
DN 80 / NPS 3,CL300,RTJ,Standard(Balanced),750-20,FCVCAD001474
DN 80 / NPS 3,CL300,RTJ,Standard(Unbalanced),750-20,FCVCAD001475
DN 80 / NPS 3,CL300,RTJ,Standard(Unbalanced),750-40,FCVCAD001476
DN 80 / NPS 3,CL300,RTJ,Extended,750-20,FCVCAD001477
DN 80 / NPS 3,CL300,RTJ,Extended,750-40,FCVCAD001478
DN 80 / NPS 3,PN40,EN-1092-D,Standard (Balanced),750-20,FCVCAD001479
DN 80 / NPS 3,PN40,EN-1092-D,Standard (Unbalanced),750-20,FCVCAD001480
DN 80 / NPS 3,PN40,EN-1092-D,Standard (Unbalanced),750-40,FCVCAD001481
DN 80 / NPS 3,PN40,EN-1092-D,Extended,750-20,FCVCAD001482
DN 80 / NPS 3,PN40,EN-1092-D,Extended,750-40,FCVCAD001483
DN 80 / NPS 3,PN40,EN-1092-E,Standard (Balanced),750-20,FCVCAD001484
DN 80 / NPS 3,PN40,EN-1092-E,Standard (Unbalanced),750-20,FCVCAD001485
DN 80 / NPS 3,PN40,EN-1092-E,Standard (Unbalanced),750-40,FCVCAD001486
DN 80 / NPS 3,PN40,EN-1092-E,Extended,750-20,FCVCAD001487
DN 80 / NPS 3,PN40,EN-1092-E,Extended,750-40,FCVCAD001488
DN 80 / NPS 3,PN40,EN-1092-F,Standard (Balanced),750-20,FCVCAD001489
DN 80 / NPS 3,PN40,EN-1092-F,Standard (Unbalanced),750-20,FCVCAD001490
