Size,Pressure class,Flange type,Actuator,Name
DN 25 / NPS 1,CL150,RF,Size 1,FCVCAD001564
DN 25 / NPS 1,CL300,RF,Size 1,FCVCAD001565
DN 25 / NPS 1,PN10-40,Type B,Size 1,FCVCAD001566
DN 25 / NPS 1,PN10-40,Type F,Size 1,FCVCAD001567
DN 40 / NPS 1 1/2,CL150,RF,Size 1,FCVCAD001568
DN 40 / NPS 1 1/2,CL150,RF,Size 2,FCVCAD001569
DN 40 / NPS 1 1/2,CL300,RF,Size 1,FCVCAD001570
DN 40 / NPS 1 1/2,CL300,RF,Size 2,FCVCAD001571
DN 40 / NPS 1 1/2,PN10-40,Type B,Size 1,FCVCAD001572
DN 40 / NPS 1 1/2,PN10-40,Type B,Size 2,FCVCAD001573
DN 40 / NPS 1 1/2,PN10-40,Type F,Size 1,FCVCAD001574
DN 40 / NPS 1 1/2,PN10-40,Type F,Size 2,FCVCAD001575
DN50 / NPS 2,CL150,RF,Size 1,FCVCAD001576
DN50 / NPS 2,CL150,RF,Size 2,FCVCAD001577
DN50 / NPS 2,CL300,RF,Size 1,FCVCAD001578
DN50 / NPS 2,CL300,RF,Size 2,FCVCAD001579
DN50 / NPS 2,PN10-40,Type B,Size 1,FCVCAD001580
DN50 / NPS 2,PN10-40,Type B,Size 2,FCVCAD001581
DN50 / NPS 2,PN10-40,Type F,Size 1,FCVCAD001582
DN50 / NPS 2,PN10-40,Type F,Size 2,FCVCAD001583
DN 80 / NPS 3,CL150,RF,Size 1,FCVCAD001584
DN 80 / NPS 3,CL150,RF,Size 2,FCVCAD001585
DN 80 / NPS 3,CL150,RF,Size 3,FCVCAD001586
DN 80 / NPS 3,CL300,RF,Size 1,FCVCAD001587
DN 80 / NPS 3,CL300,RF,Size 2,FCVCAD001588
DN 80 / NPS 3,CL300,RF,Size 3,FCVCAD001589
DN 80 / NPS 3,PN10-16,Type B,Size 1,FCVCAD001590
DN 80 / NPS 3,PN10-16,Type B,Size 2,FCVCAD001591
DN 80 / NPS 3,PN10-16,Type B,Size 3,FCVCAD001592
DN 80 / NPS 3,PN10-16,Type F,Size 1,FCVCAD001593
